"n_foro","nombre_ponente","afiliacion_ponente"
"1","Ángel Benjamín Robles Montoya","Diputada"
"1","Hamlet García Almaguer","Diputada"
"1","Iran Santiago Manuel","Diputada"
"1","Armando Antonio Gómez Betancourt","Diputada"
"1","Judith Celina Tanori Córdova","Diputada"
"1","Lidia Pérez Bárcenas","Diputada"
"1","Rafael Hernández Villalpando","Diputada"
"1","Gabriel Ricardo Quadri de la Torre","Diputada"
"1","Joanna Alejandra Felipe Torres","Diputada"
"1","Susana Prieto Terrazas","Diputada"
"10","Luis Ángel Xariel Espinosa Cházaro","Diputada"
"10","José Gerardo Rodolfo Fernández Noroña","Diputada"
"10","Manuel Jesús Herrera Vega","Diputada"
"10","Luis Alberto Martínez Bravo","Diputada"
"10","Gabriel Ricardo Quadri de la Torre","Diputada"
"10","Moisés Ignacio Mier Velazco","Diputada"
"10","Rubén Ignacio Moreira Valdez","Diputada"
"10","Mauricio Prieto Gómez","Diputada"
"10","Jorge Triana Tena","Diputada"
"10","José Mauro Garza Marín","Diputada"
"10","Carlos Alberto Puente Salas","Diputada"
"10","Ignacio Loyola Vera","Diputada"
"10","Aleida Alavez Ruiz","Diputada"
"12","Héctor Ireneo Mares Cossío","Diputada"
"12","Santiago Torreblanca Engell","Diputada"
"12","Lidia Pérez Bárcenas","Diputada"
"12","Susana Prieto Terrazas","Diputada"
"12","Judith Celina Tanori Córdova","Diputada"
"12","Yeidckol Polevnsky Gurwitz","Diputada"
"15","Elizabeth Pérez Valdez","Diputada"
"15","Manuel Jesús Herrera Vega","Diputada"
"15","Magdalena del Socorro Núñez Monreal","Diputada"
"15","Luis Alberto Martínez Bravo","Diputada"
"15","Leonel Godoy Rangel","Diputada"
"15","Jorge Triana Tena","Diputada"
"15","Rubén Ignacio Moreira Valdez","Diputada"
"15","Mario Alberto Rodríguez Carrillo","Diputada"
"15","Aleida Alavez Ruiz","Diputada"
"15","Juan Ramiro Robledo Ruiz","Diputada"
"16","Moisés Ignacio Mier Velazco","Diputada"
"16","José Gerardo Rodolfo Fernández Noroña","Diputada"
"16","Edna Gisel Díaz Acevedo","Diputada"
"16","José Mauro Garza Marín","Diputada"
"16","Ignacio Loyola Vera","Diputada"
"16","Rubén Ignacio Moreira Valdez","Diputada"
"16","Leonel Godoy Rangel","Diputada"
"16","Manuel Jesús Herrera Vega","Diputada"
"16","Luis Alberto Martínez Bravo","Diputada"
"16","Reynel Rodríguez Muñoz","Diputada"
"16","Santiago Torreblanca Engell","Diputada"
"16","Claudia Selene Ávila Flores","Diputada"
"17","Héctor Israel Castillo Olivares","Diputada"
"18","Héctor Israel Castillo Olivares","Diputada"
"18","Eduardo Murat Hinojosa","Diputada"
"19","Manuel Jesús Herrera Vega","Diputada"
"19","José Gerardo Rodolfo Fernández Noroña","Diputada"
"19","Rubén Ignacio Moreira Valdez","Diputada"
"19","Pedro Armentía López","Diputada"
"19","Ignacio Loyola Vera","Diputada"
"19","Aleida Alavez Ruiz","Diputada"
"19","Mauricio Prieto Gómez","Diputada"
"19","Blanca María del Socorro Alcalá Ruiz","Diputada"
"19","Leonel Godoy Rangel","Diputada"
"2","Luis Ángel Xariel Espinosa Cházaro","Diputada"
"2","José Mauro Garza Marín","Diputada"
"2","José Gerardo Rodolfo Fernández Noroña","Diputada"
"2","Carlos Alberto Puente Salas","Diputada"
"2","Juan Carlos Natale López","Diputada"
